Name,Partei,ID-Politiker,Geschlecht
Acar Sait,SP,1,m
Aebli Daniel,SVP,2,m
Andrea Blümli,Die Mitte,3,w
Andrea Näf,Die Mitte,4,w
Angelika Sulser,SP,5,w
Anke Würl,Die Mitte,6,w
Ann-Kathrin Biagioli ,GLP,7,w
Baldegger Harry,FW,8,m
Barbara Häberli,SP,9,w
Bräuer Rudolf,FW,10,m
Broggini Angela,Grüne,11,w
Buchmann Reto,FDP,12,m
Buchmann-Bach Vera,FDP,13,w
Bürgi Markus,FDP,14,m
Christoph Gubser,FDP,15,m
Christoph Schwager,Die Mitte,16,m
Clesle Hanspeter,EVP,17,m
Corrodi Bernie,FW,18,m
Daniel Jud,SP,19,m
Daniela Morf,SVP,20,w
Daniella Glur-Diminutto,Grüne,21,w
Davide Loss,SP,22,m
Eggenberger Daniela,SVP,23,w
Egli Raphael,Die Mitte,24,m
Engel Pascal,EVP,25,m
Erwin Lauper,SVP,26,m
Etemi Xhelajdin,SP,27,m
Fässler Thomas,Die Mitte,28,m
Fredi Morf,SVP,29,m
Frei Daniel,FW,30,m
Frei Kurt,SP,31,m
Gabriella Barco Greiner,SP,32,w
Geissler Heinz,FDP,33,m
Günthardt Renato,SVP,34,m
Hans Rudolf Stieger,SP,35,m
Hedwig Habersaat,SVP,36,w
Heidi Jucker,SVP,37,w
Helbling Silvia,FDP,38,w
Huber Sebastian,SVP,39,m
Huber Urs,SVP,40,m
Iseli Thomas,FDP,41,m
Jacoma Martial,Die Mitte,42,m
Jacomet Renato,SVP,43,m
Kälin Florian,Die Mitte,44,m
Kappeler Nicole,Die Mitte,45,w
Karin Hug-Danecker,EVP,46,w
Katharina Willimann,SP,47,w
Keith Wyss,SVP,48,m
Koller Marin,SVP,49,m
Kuhn Markus,Grüne,50,m
Künzler Urs,SVP,51,m
Liedtke Wolfgang,SP,52,m
Luck Andreas,SVP,53,m
Mäder Gabriel,GLP,54,m
Marietta Werder,FDP,55,w
Mario F. Salomon,SVP,56,m
Martin Rüttimann,Die Mitte,57,m
Marty Fässler Carmen,SP,58,w
Meier Theo,EVP,59,m
Melliger Heinz,FW,60,m
Muthuthamby Kannathasan,SP,61,m
Neukom Roger,FDP,62,m
Nyffeler Hans-Peter,SVP,63,m
Oswald Marianne,Grüne,64,w
Patrick Sager,FDP,65,m
Peter Bühler,SP,66,m
Peter Werder,FDP,67,m
Renata Vasella Billeter,SP,68,w
Riesen Gabriel,SVP,69,m
Rossi Franco,SVP,70,m
Röthlisberger Ulrich,SVP,71,m
Ruckstuhl Clemens,Die Mitte,72,m
Schanz Simon,Die Mitte,73,m
Schneider Daniel,Grüne,74,m
Schoch Jacqueline,Grüne,75,w
Schweizer Rolf,FDP,76,m
Senn Mario,FDP,77,m
Simon Jacoby,SP,78,m
Simon Pfenninger,Die Mitte,79,m
Simone Huber,FDP,80,w
Stefan Neubert,GLP,81,m
Sütterlin Christoph,Die Mitte,82,m
Titus Christian,SVP,83,m
Ueli Gräflein,Grüne,84,m
Walter Uebersax,Die Mitte,85,m
Weber Martin,SVP,86,m
Welti Pascal,Grüne,87,m
Weyermann Urs,SVP,88,m
Winter Stefan,FW,89,m
Yannick Wettstein,FDP,90,m
Yilmaz Esen,SP,91,m
Zeroual Farid,Die Mitte,92,m
