Name,Partei,ID-Politiker,Geschlecht
Hanspeter Andreoli,BFPW,1,m
Bachmann Andrea,Grüne,2,w
Gabi Bachmann,EVP,3,w
Bachmann Severin,Grüne,4,m
Baer Charlotte,SVP,5,w
Bass Simon,Die Mitte,6,m
Marcel Bättig,SVP,7,m
Bislin Martin,Die Mitte,8,m
Roland Bollier,BFPW,9,m
Rainer Bossert,SVP,10,m
Sandy Bossert,SVP,11,w
Brändli Heiner,FDP,12,m
Brenner Christian,FDP,13,m
Edith Brunner,SP,14,w
Brupbacher Ernst,BFPW,15,m
Claudia Bühlmann,Grüne,16,w
Thomas Bürge,FDP,17,m
Corina Bürgi,SP,18,w
Ivano Coduri,FDP,19,m
Cogliati Bruno,SVP,20,m
Dätwyler Cornelia,FDP,21,w
Volkan Dogu,Die Mitte,22,m
Peter Dolder,FDP,23,m
Ulrich Eckl,Die Mitte,24,m
Egli Jürg,BFPW,25,m
Denise Engel,SP,26,w
Erni Jonas,SP,27,m
Fahmy Mona,SP,28,w
Frey Christoph,FDP,29,m
Frommherz Nico,Grüne,30,m
Fuchs Werner,GLP,31,m
Astrid Furrer,FDP,32,w
Judith Fürst,SP,33,w
Gall Ursula,Die Mitte,34,w
Gian-Fadri Gattiker,FDP,35,m
Beatrice Gmür,SP,36,w
Ernst Grand,FDP,37,m
Aurel Greter,Die Mitte,38,m
Monika Greter,Die Mitte,39,w
Christian Gross,SP,40,m
Gross-Bechter Kathrin,SP,41,w
Andreas Gut,Die Mitte,42,m
Gwerder-Fegble Alexandra,BFPW,43,w
Fredy Haab,SVP,44,m
Matthias Haab,EVP,45,m
Thomas Hartmann,SP,46,m
Heini Hauser,SVP,47,m
Hauser Urs,EVP,48,m
Hermann Roman,FDP,49,m
Peter Hildebrand,SP,50,m
Christoph Hirzel,SP,51,m
Hitz Roland,SVP,52,m
Höhener Patrick,Grüne,53,m
Edith Höhn,SP,54,w
Huber Peter,SP,55,m
Rita Hug,SP,56,w
Simon Kägi,Grüne,57,m
Knecht Sonja,Die Mitte,58,w
Koch Thomas,FDP,59,m
Kronauer Marco,SVP,60,m
Oliver Küng,FDP,61,m
Küttel Richard,SVP,62,m
Kutter Philipp,Die Mitte,63,m
Martin Lampert,SVP,64,m
Landolt Hanna,SP,65,w
Thomas Largiadèr,SP,66,m
Christoph Lehmann,SVP,67,m
Lüthi Beat,FDP,68,m
Marc Lütolf,Die Mitte,69,m
Lutz Martin,SVP,70,m
Mahler Christoph,EVP,71,m
Mani Manfred,EVP,72,m
Tobias Mani,EVP,73,m
Christine Merseburger,EVP,74,w
Minutella Angelo,GLP,75,m
Patrik Mouron,Die Mitte,76,m
Walter Münch,FDP,77,m
Meike Nau Lüber,SP,78,w
Neumayr René,SP,79,m
Christian Nufer,FDP,80,m
Katarina Oehlin,SP,81,w
Peyer Ivo,BFPW,82,m
Pfister Gody,SVP,83,m
Pierre Rappazzo,GLP,84,m
Rasper Nicolas,SVP,85,m
Reifler Fredy,SVP,86,m
Reiter Ulrich,Grüne,87,m
Reust Patrick,SP,88,m
Thomas Rom,SP,89,m
Roth Hans,SP,90,m
Pascal Rubin,BFPW,91,m
Willy Rüegg,SP,92,m
Rusterholz Marlies,SVP,93,w
Migmar Dhakyel,SP,94,w
Schafflützel Roman,FDP,95,m
Erich Schärer,SVP,96,m
Roy Schärer,SVP,97,m
Eric Schenk,FDP,98,m
Martin Schlatter,EVP,99,m
Hansjörg Schmid,SP,100,m
Schneeberger Marc,SVP,101,m
Gernot Schreiber,EVP,102,m
Schüpbach Nadia,FDP,103,w
Schuppli Peter,FDP,104,m
Markus Siegrist,SVP,105,m
Karin Signer,SP,106,w
Rahel Sonderegger,EVP,107,w
Giuseppina Spescha,Die Mitte,108,w
Kuno Spirig,Die Mitte,109,m
Albert A. Stahel,GLP,110,m
Adrian Stocker,SVP,111,m
Berti Stocker,EDU,112,w
Stucki Adrian,Grüne,113,m
Doris Stüdli,FDP,114,w
Taddei Felicitas,FDP,115,w
Taddei Nicolo,FDP,116,m
Daniel Tanner,SP,117,m
Tanner Imfeld Monika,GLP,118,w
Tattersall Christopher,SVP,119,m
Trombetta Fabio,SP,120,m
Utiger Joël,Die Mitte,121,m
Michael Vogt,Die Mitte,122,m
Wehrli Samuel,Grüne,123,m
Michael Weiss,GLP,124,m
Beat Wiederkehr,Die Mitte,125,m
Lukas Wiederkehr,Die Mitte,126,m
Heinz Wiher,Grüne,127,m
Willi Daniel,SP,128,m
Reto Wullschleger,BFPW,129,m
Jürg Wuhrmann,SVP,130,m
Bruno Zürcher,EDU,131,m
Christina Zurfluh Fraefel,SVP,132,w
Zürrer André,SVP,133,m
Jonas Rickli,FDP,134,m
BFPW-Fraktion,BFPW,135,
SP-Fraktion,SP,136,
FDP-Fraktion,FDP,137,
SVP-Fraktion,SVP,138,
GLP-Fraktion,GLP,139,
GP-Fraktion,Grüne,140,
EVP-Fraktion,EVP,141,
CVP-Fraktion,Die Mitte,142,
