Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Interpellation betreffend Ausbau Bahnhof Wädenswil,Interpellation,Erledigt,2018-04-02,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",1
Postulat betreffend Berücksichtigung der IAO-Kernübereinkommen im städtischen Beschaffungswesen,Postulat,Beantwortet,2008-06-19,['Willy Rüegg'],['Willy Rüegg'],2
Interpellation betreffend Konzept für den Erhalt der Bienenvölker,Interpellation,Erledigt,2012-12-17,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",3
Postulat betreffend Unterstützung zur Senkung von Mietzinsen bei Sozialhilfebeziehenden,Postulat,Abgeschrieben,2017-06-20,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",4
Interpellation betreffend die nachhaltige Wasserversorgung in Wädenswil,Interpellation,Beantwortet,2012-07-15,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel'],5
Schriftliche Anfrage betreffend Energieholz für Heizverbund-Anlagen,Anfrage,Beantwortet,2022-10-16,"[' Fuchs Werner', ' Hauser Urs', ' Minutella Angelo', ' Reust Patrick', ' Roth Hans', ' Tanner Imfeld Monika', ' Willi Daniel', '', 'Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Edith Höhn (Erstunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '']","['Fuchs Werner', 'Hauser Urs', 'Minutella Angelo', 'Reust Patrick', 'Roth Hans', 'Tanner Imfeld Monika', 'Willi Daniel', 'Karin Signer', 'Judith Fürst', 'Edith Höhn', 'Gabi Bachmann']",6
Interpellation betreffend Baurechtsverträge in Wädenswil,Interpellation,Erledigt,2015-06-22,"['Thomas Rom (keine Funktion)\n Peter Hildebrand (keine Funktion)\n Beatrice Gmür (Erstunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)', '', '', '', '', '']","['Thomas Rom', 'Peter Hildebrand', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross']",7
Interpellation betreffend Parkplätze neue Stadtbibliothek,Interpellation,Beantwortet,2012-01-30,"[' Furrer Astrid', '', 'Peter Dolder, Gian-Fadri Gattiker, Thomas Bürge\n Walter Münch (keine Funktion)', '']","['Astrid Furrer', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Thomas Bürge', 'Walter Münch']",8
Schriftliche Anfrage betreffend Einsatz von kombinierten Abfalleimern mit Aschenbechern,Anfrage,Beantwortet,2017-11-15,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",9
Schriftliche Anfrage betreffend Öffentlichkeitsarbeit zur geplanten Gemeindefusion,Anfrage,Beantwortet,2016-03-26,"[' Roth Hans', '', 'Peter Hildebrand (keine Funktion)\n Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Erstunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Peter Hildebrand', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross']",10
Schriftliche Anfrage betreffend privater Gestaltungsplan Reidbach und Unterschriften von Grundeigentümern,Anfrage,Beantwortet,2013-11-06,"['Albert A. Stahel, SD']",['Albert A. Stahel'],11
Postulat betreffend Solarglasdach - Einbau von Solarzellen in der Überdachung des Busbahnhofs,Postulat,Nicht überwiesen,2010-05-22,"['Kuno Spirig, GLP']",['Kuno Spirig'],12
"Schriftliche Anfrage betreffend ""Städtische Liegenschaften-Bewirtschaftung""",Anfrage,Erledigt,2020-05-27,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",13
Schriftliche Anfrage betreffend Tagesschule und Erhalt der Schuleinheit Berg,Kleine Anfrage,Beantwortet,2007-07-19,['Fredy Haab'],['Fredy Haab'],14
Interpellation betreffend Begabungs- und Begabtenförderung (Begafö),Interpellation,Beantwortet,2010-11-23,"['Aurel Greter, CVP\n Michael Vogt, CVP\n Beat Wiederkehr (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Aurel Greter', 'Michael Vogt', 'Beat Wiederkehr', 'Monika Greter']",15
Interpellation betreffend Umnutzung des Aucenter-Areals,Interpellation,Erledigt,2014-03-05,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",16
Interpellation betreffend Prüfung von alternativen Finanzierungsformen,Interpellation,Erledigt,2014-03-14,"[' Baer Charlotte', '', 'SVP/BFPW-Fraktion\n Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'SVP/BFPW-Fraktion', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",17
Postulat betreffend bergwärtsfahrende Velofahrer auf der Schönenbergstrasse,Postulat,Nicht überwiesen,2010-11-23,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger', 'Berti Stocker']",18
Schriftliche Anfrage betreffend Jugendliche ohne Lehrstellen 2007,Kleine Anfrage,Beantwortet,2007-08-10,['Willy Rüegg'],['Willy Rüegg'],19
"Schriftliche Anfrage betreffend ""Corona-Massnahmen der Stadt Wädenswil""",Anfrage,Erledigt,2020-05-15,"[' Gall Ursula', ' Utiger Joël', '', 'Eric Schenk (Mitunterzeichner/in)\n Lukas Wiederkehr (Erstunterzeichner/in)', '']","['Gall Ursula', 'Utiger Joël', 'Eric Schenk', 'Lukas Wiederkehr']",20
Interpellation betreffend Realisierung der Überdachung des Busbahnhofs in Wädenswil,Interpellation,Beantwortet,2010-05-22,"['Kuno Spirig, GLP']",['Kuno Spirig'],21
Schriftliche Anfrage betreffend Fusion mit Berggemeinden,Anfrage,Beantwortet,2013-11-15,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",22
Interpellation betreffend Auswikrungen kantonaler Kürzungen für Wädenswil,Interpellation,Erledigt,2016-04-22,"[' Roth Hans', '', 'Peter Hildebrand (keine Funktion)\n Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Erstunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Peter Hildebrand', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross']",23
Schriftliche Anfrage betreffend Sonntagsverkauf am Heiligabend,Anfrage,Beantwortet,2017-11-08,"['Martin Schlatter (Mitunterzeichner/in)\n Bruno Zürcher (Mitunterzeichner/in)\n Gabi Bachmann (Erstunterzeichner/in)', '', '']","['Martin Schlatter', 'Bruno Zürcher', 'Gabi Bachmann']",24
Schriftliche Anfrage betreffend Zukunft der Schuleinheit im Wädenswiler Berg,Kleine Anfrage,Beantwortet,2012-07-16,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",25
Schriftliche Anfrage betreffend geplanten Massnahmen zur Lärmsanierung und zur Lärmbekämpfung in Wädenswil,Kleine Anfrage,Beantwortet,2012-02-02,[' Erni Jonas'],['Erni Jonas'],26
Motion  für einheitlichen Voranschlag und einheitliche Rechnung an alle Gemeinderäte,Motion,Erledigt,2015-06-05,"[' Baer Charlotte', ' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', ' Zürrer André', '', 'Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Volkan Dogu (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Pierre Rappazzo (Erstunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Zürrer André', 'Adrian Stocker', 'Pascal Rubin', 'Volkan Dogu', 'Christina Zurfluh Fraefel', 'Monika Greter', 'Roy Schärer', 'Pierre Rappazzo', 'Ernst Grand', 'Hanspeter Andreoli', 'Sandy Bossert', 'Lukas Wiederkehr', 'Christian Nufer']",27
Dringliche Interpellation betreffend Vorbereitung mögliche Gasmangellage,Dringliche Interpellation,Erledigt,2022-09-18,"[' Reiter Ulrich', ' Bachmann Severin', ' Frommherz Nico', ' Höhener Patrick', ' Wehrli Samuel']","['Reiter Ulrich', 'Bachmann Severin', 'Frommherz Nico', 'Höhener Patrick', 'Wehrli Samuel']",28
Interpellation betreffend Mitgliedschaft der Stadt Wädenswil im Verein eco-bau,Interpellation,Erledigt,2017-06-21,"[' Baer Charlotte', ' Zürrer André', '', 'Markus Siegrist (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Erstunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Markus Siegrist', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Sandy Bossert']",29
Interpellation betreffend Umbau Frohmatt,Interpellation,Erledigt,2013-01-16,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']",30
Schriftliche Anfrage betreffend Verwendung der freigewordenen Mittel aus dem Verkauf der Spitalliegenschaft Wädenswil,Kleine Anfrage,Beantwortet,2008-06-11,['Christoph Hirzel'],['Christoph Hirzel'],31
Postulat betreffend Tempo 30 auf der Zugerstrasse,Postulat,Erledigt,2018-04-19,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Judith Fürst']",32
Interpellation betreffend Velostreifen in der Bahnhofsunterführung in Wädenswil,Interpellation,Erledigt,2018-07-06,['Hansjörg Schmid (Verfasser/in)'],['Hansjörg Schmid'],33
Schriftliche Anfrage betreffend Fusion der Abwasserreinigungsanlagen von Wädenswil und Richterswil,Kleine Anfrage,Beantwortet,2008-06-10,['GP-Fraktion'],['GP-Fraktion'],34
