Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Städtische Beteiligung an Unternehmungen,Postulat,Abgeschrieben,2014-11-21,[' Senn Mario'],['Senn Mario'],1
ZKB Jubiläums-Dividende,Interpellation,Beantwortet,2019-11-06,"[' Mäder Gabriel', ' Schanz Simon', '', 'Stefan Neubert (Mitunterzeichner/in)\n Anke Würl (Mitunterzeichner/in)\n Martin Rüttimann (Mitunterzeichner/in)\n Walter Uebersax (Erstunterzeichner/in)', '', '', '']","['Mäder Gabriel', 'Schanz Simon', 'Stefan Neubert', 'Anke Würl', 'Martin Rüttimann', 'Walter Uebersax']",2
Zwischennutzung Stadthausareal,Postulat,Überwiesen,2011-09-07,[' Clesle Hanspeter'],['Clesle Hanspeter'],3
Anschluss des Quartiers Sonnenberg an den ÖV,Postulat,Abgelehnt,2022-12-15,"[' Muthuthamby Kannathasan', ' Acar Sait']","['Muthuthamby Kannathasan', 'Acar Sait']",4
Berücksichtigung von lokalen Handwerker u. Unternehmen bei Beauftragungen durch die Stadt Adliswil,Interpellation,Beantwortet,2022-12-16,[' Muthuthamby Kannathasan'],['Muthuthamby Kannathasan'],5
Sichere Schulwege im Soodstrassenbereich,Interpellation,Beantwortet,2011-09-21,[' Baldegger Harry'],['Baldegger Harry'],6
Geplante Verkehrsentwicklung,Interpellation,Beantwortet,2019-10-02,"[' Baldegger Harry', ' Mäder Gabriel', ' Melliger Heinz', '', 'Stefan Neubert (Erstunterzeichner/in)\n Anke Würl (Mitunterzeichner/in)\n Walter Uebersax (Mitunterzeichner/in)', '', '']","['Baldegger Harry', 'Mäder Gabriel', 'Melliger Heinz', 'Stefan Neubert', 'Anke Würl', 'Walter Uebersax']",7
Reorganisation der Schule Adliswil,Interpellation,Beantwortet,2014-11-17,"['Fredi Morf (keine Funktion)\n Heidi Jucker (keine Funktion)', '']","['Fredi Morf', 'Heidi Jucker']",8
Elternmitwirkung bei der Schülerzuteilung,Postulat,Erledigt,2014-11-06,[' Senn Mario'],['Senn Mario'],9
Sauberkeit im öffentlichen Raum,Anfrage,Beantwortet,2016-02-10,['Dr.  Liedtke Wolfgang'],['Liedtke Wolfgang'],10
Ortsbus-Erschliessung Quartier Sonnenberg,Interpellation,Beantwortet,2016-07-08,"[' Senn Mario', 'Dr. Bürgi Markus', ' Clesle Hanspeter']","['Senn Mario', 'Bürgi Markus', 'Clesle Hanspeter']",11
Selbständiges Wohnen im Alter,Interpellation,Beantwortet,2022-11-21,"[' Melliger Heinz', ' Baldegger Harry', ' Corrodi Bernie', ' Frei Daniel']","['Melliger Heinz', 'Baldegger Harry', 'Corrodi Bernie', 'Frei Daniel']",12
Organisation der Polizei in Adliswil,Interpellation,Beantwortet,2011-07-07,['Simone Huber (keine Funktion)'],['Simone Huber'],13
Einfluss der geplanten Projekte Sood/Lätten auf den Verkehr in Adliswil?,Anfrage,Beantwortet,2022-01-31,[' Mäder Gabriel'],['Mäder Gabriel'],14
Förderung und Schutz der Artenvielfalt,Postulat,Überwiesen,2021-12-16,"['Dr. Oswald Marianne', 'Dr. Broggini Angela ', ' Mäder Gabriel', ' Schneider Daniel', '', 'Walter Uebersax (Mitunterzeichner/in)']","['Oswald Marianne', 'Broggini Angela', 'Mäder Gabriel', 'Schneider Daniel', 'Walter Uebersax']",15
