Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Interpellation betreffend Ausbau Bahnhof Wädenswil,Interpellation,Erledigt,2. April 2018,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
Postulat betreffend Berücksichtigung der IAO-Kernübereinkommen im städtischen Beschaffungswesen,Postulat,Beantwortet,19. Juni 2008,['Willy Rüegg'],['Willy Rüegg']
Interpellation betreffend Konzept für den Erhalt der Bienenvölker,Interpellation,Erledigt,17. Dezember 2012,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']"
Postulat betreffend Unterstützung zur Senkung von Mietzinsen bei Sozialhilfebeziehenden,Postulat,Abgeschrieben,20. Juni 2017,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
Interpellation betreffend die nachhaltige Wasserversorgung in Wädenswil,Interpellation,Beantwortet,15. Juli 2012,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel']
Schriftliche Anfrage betreffend Energieholz für Heizverbund-Anlagen,Anfrage,Beantwortet,16. Oktober 2022,"[' Fuchs Werner', ' Hauser Urs', ' Minutella Angelo', ' Reust Patrick', ' Roth Hans', ' Tanner Imfeld Monika', ' Willi Daniel', '', 'Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Edith Höhn (Erstunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '']","['Fuchs Werner', 'Hauser Urs', 'Minutella Angelo', 'Reust Patrick', 'Roth Hans', 'Tanner Imfeld Monika', 'Willi Daniel', 'Karin Signer', 'Judith Fürst', 'Edith Höhn', 'Gabi Bachmann']"
Interpellation betreffend Baurechtsverträge in Wädenswil,Interpellation,Erledigt,22. Juni 2015,"['Thomas Rom (keine Funktion)\n Peter Hildebrand (keine Funktion)\n Beatrice Gmür (Erstunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)', '', '', '', '', '']","['Thomas Rom', 'Peter Hildebrand', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross']"
Interpellation betreffend Parkplätze neue Stadtbibliothek,Interpellation,Beantwortet,30. Januar 2012,"[' Furrer Astrid', '', 'Peter Dolder, Gian-Fadri Gattiker, Thomas Bürge\n Walter Münch (keine Funktion)', '']","['Astrid Furrer', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Thomas Bürge', 'Walter Münch']"
Schriftliche Anfrage betreffend Einsatz von kombinierten Abfalleimern mit Aschenbechern,Anfrage,Beantwortet,15. November 2017,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']"
Schriftliche Anfrage betreffend Öffentlichkeitsarbeit zur geplanten Gemeindefusion,Anfrage,Beantwortet,26. März 2016,"[' Roth Hans', '', 'Peter Hildebrand (keine Funktion)\n Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Erstunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Peter Hildebrand', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross']"
